ROUTE,avg_dep_delay,cancel_rate,flight_count,risk_score
ABQ-DEN,7.142156862745098,0.027777777777777776,612,0.025474257033727965
ABQ-DFW,25.64179104477612,0.013059701492537313,536,1.1422837353557933
ABQ-LAX,4.576628352490421,0.0,522,-1.2719377467726443
ABQ-PHX,9.512640449438202,0.0028089887640449437,712,-0.7158586674566897
AGS-ATL,21.115384615384617,0.0,520,0.23065467935828332
AMA-DFW,7.9296028880866425,0.02527075812274368,554,0.0009575867771421942
ANC-SEA,8.776978417266188,0.030739045127534337,1529,0.28746557909242615
ASE-DEN,27.135593220338983,0.10691003911342895,767,4.87394643294317
ATL-AGS,12.10576923076923,0.0019230769230769232,520,-0.5142100208620283
ATL-AUS,6.420600858369099,0.001072961373390558,932,-1.063296343600789
ATL-AVL,4.353965183752417,0.0019342359767891683,517,-1.2180556080996612
ATL-BHM,5.0813124108416545,0.0014265335235378032,701,-1.1714270740563344
ATL-BNA,5.211981566820277,0.01152073732718894,868,-0.7727883709335778
ATL-BOS,8.438528557599225,0.001936108422071636,1033,-0.8468898172073014
ATL-BWI,9.425816023738873,0.00741839762611276,1348,-0.5471339278845931
ATL-CAE,3.8045977011494254,0.0,522,-1.3420788983203304
ATL-CHA,4.824902723735408,0.005836575875486381,514,-1.025748509891096
ATL-CHS,3.9563812600969306,0.0,619,-1.3282889359760999
ATL-CLE,6.780907668231612,0.001564945226917058,639,-1.0117107256691797
ATL-CLT,5.465320456540825,0.000877963125548727,1139,-1.1575577544718763
ATL-CMH,4.7757847533632285,0.0014947683109118087,669,-1.1965706518481922
ATL-CVG,7.078864353312303,0.00473186119873817,634,-0.8632977469093372
ATL-DAL,7.737206085753804,0.004149377593360996,723,-0.8258038520646183
ATL-DCA,7.123085983510012,0.010011778563015312,1698,-0.6569760656083388
ATL-DEN,6.856341976173791,0.009810791871058164,1427,-0.6889114642711537
ATL-DFW,15.766129032258064,0.009408602150537635,1488,0.10515749410371528
ATL-DTW,9.133784928027096,0.001693480101608806,1181,-0.7930203119360334
ATL-ECP,4.0199203187251,0.0,502,-1.3225162341634262
ATL-EWR,7.110948905109489,0.012408759124087591,1370,-0.5662366324524338
ATL-FLL,14.58056982718356,0.004670714619336758,2141,-0.18408962680411328
ATL-GSO,3.7322033898305085,0.001694915254237288,590,-1.2837141664475145
ATL-GSP,5.242424242424242,0.0025252525252525255,792,-1.114691363476208
ATL-HOU,5.322493224932249,0.0013550135501355014,738,-1.152255461973981
ATL-HSV,3.9948630136986303,0.011986301369863013,584,-0.8655285696287713
ATL-IAD,5.135220125786163,0.0031446540880503146,636,-1.1006983196114601
ATL-IAH,11.360078277886497,0.007827788649706457,1022,-0.35571464685515447
ATL-IND,5.123537061118335,0.0,769,-1.222249555574551
ATL-JAN,7.656521739130435,0.0014492753623188406,690,-0.9365907079601873
ATL-JAX,8.060853769300635,0.0018165304268846503,1101,-0.8857843529620437
ATL-JFK,20.191724137931036,0.002758620689655172,725,0.2524361680170083
ATL-LAS,15.511111111111111,0.0026666666666666666,1125,-0.17633395048637018
ATL-LAX,11.025862068965518,0.0,1160,-0.6860067624419098
ATL-LGA,10.262115685252736,0.009379885356956748,1919,-0.39599787233013073
ATL-LIT,4.372693726937269,0.0018450184501845018,542,-1.2197725043092547
ATL-MCI,5.833116036505867,0.007822685788787484,767,-0.8580501990870105
ATL-MCO,13.048759623609923,0.005560307955517536,2338,-0.28917344251619076
ATL-MDW,10.81549815498155,0.020910209102091022,813,0.09607154213788231
ATL-MEM,5.6484375,0.009114583333333334,768,-0.8253287321952462
ATL-MIA,18.29466739967015,0.006047278724573941,1819,0.20609065558699557
ATL-MKE,8.867272727272727,0.01090909090909091,550,-0.4641306041561392
ATL-MSP,6.509345794392523,0.0,856,-1.0963449425804237
ATL-MSY,9.107263513513514,0.0008445945945945946,1184,-0.8279555463028557
ATL-OKC,5.2215686274509805,0.00392156862745098,510,-1.0630852484476065
ATL-OMA,5.003913894324853,0.003913894324853229,511,-1.0831538385487998
ATL-ORD,11.992199687987519,0.0078003120124804995,1282,-0.29933743067030966
ATL-ORF,7.067594433399602,0.003976143141153081,503,-0.8932775589846487
ATL-PBI,8.849250936329588,0.0,1068,-0.8837579929784362
ATL-PHL,6.94375,0.00234375,1280,-0.9670755496123512
ATL-PHX,11.380622837370241,0.0011534025374855825,867,-0.6095822614541588
ATL-PIT,6.623164763458401,0.0,613,-1.0860041697828875
ATL-PNS,5.111731843575419,0.0,537,-1.2233220927222572
ATL-RDU,6.4913714804722975,0.0009082652134423251,1101,-1.063177091723658
ATL-RIC,7.748051948051948,0.0,770,-0.9838050118199524
ATL-RSW,9.78407960199005,0.001990049751243781,1005,-0.7225759254676105
ATL-SAT,5.708333333333333,0.0,672,-1.1691191728848138
ATL-SAV,3.2098765432098766,0.0,648,-1.396110984734512
ATL-SDF,3.1261398176291793,0.0,658,-1.403718701279005
ATL-SEA,6.459654178674351,0.024495677233429394,694,-0.16228918894988953
ATL-SFO,15.691558441558442,0.006493506493506494,616,-0.013311545421974658
ATL-SJU,11.326050420168068,0.0016806722689075631,595,-0.5943375806856238
ATL-SLC,6.686429512516469,0.0,759,-1.0802563897645676
ATL-SRQ,9.333791208791208,0.0,728,-0.8397361492567463
ATL-STL,6.4318766066838045,0.0038560411311053984,778,-0.9556361070591899
ATL-TPA,12.92514619883041,0.004678362573099415,1710,-0.33419647262408647
ATL-TYS,6.998324958123953,0.011725293132328308,597,-0.6026563498807842
AUS-ATL,5.47905477980666,0.00322234156820623,931,-1.0664833217617082
AUS-BNA,12.01500938086304,0.024390243902439025,533,0.3383906657742155
AUS-DAL,7.199074074074074,0.021604938271604937,648,-0.2058716629955657
AUS-DEN,8.661350844277674,0.021575984990619138,1066,-0.07412908105336488
AUS-DFW,23.31600324939074,0.012185215272136474,1231,0.8974727862200543
AUS-IAH,5.356862745098039,0.01568627450980392,510,-0.6000198055911634
AUS-JFK,16.666107382550337,0.006711409395973154,596,0.08357807545684565
AUS-LAS,17.712700369913687,0.006165228113440197,811,0.15773663744481847
AUS-LAX,9.889830508474576,0.00847457627118644,944,-0.46450862700099305
AUS-MCO,12.792633015006821,0.01637107776261937,733,0.10177954745863395
AUS-ORD,9.669603524229075,0.013215859030837005,681,-0.302851036297478
AUS-PHX,18.239106145251398,0.0033519553072625698,895,0.09776940698953068
AVL-ATL,6.032945736434108,0.001937984496124031,516,-1.0653718851115306
AVL-CLT,4.959001782531194,0.0071301247771836,561,-0.9640019307503028
BDL-MCO,35.666666666666664,0.013888888888888888,504,2.084842764047578
BHM-ATL,5.3509272467903,0.0028530670470756064,701,-1.0922730999686312
BHM-CLT,8.346666666666666,0.015238095238095238,525,-0.3455600551108665
BNA-ATL,4.596244131455399,0.014084507042253521,852,-0.7304970719226853
BNA-AUS,8.047801147227533,0.021032504780114723,523,-0.1506956478838596
BNA-CLT,12.818378378378378,0.023783783783783784,925,0.38814201648444135
BNA-DAL,10.40747663551402,0.03177570093457944,535,0.47532116887210885
BNA-DCA,4.297216699801193,0.03180914512922465,1006,-0.07853165649168581
BNA-DEN,11.776371308016877,0.029535864978902954,948,0.5138680854355313
BNA-DFW,29.025270758122744,0.03489771359807461,831,2.2864222932964147
BNA-FLL,9.146964856230031,0.023961661341853034,626,0.06139930636994076
BNA-IAH,7.888045540796964,0.026565464895635674,527,0.046789653116283025
BNA-LGA,8.874226804123712,0.03505154639175258,970,0.4615376114406647
BNA-MCO,14.769526248399488,0.016645326504481434,781,0.2918938939993102
BNA-MIA,14.581117021276595,0.027925531914893616,752,0.706985977881603
BNA-ORD,8.886260236578709,0.047315741583257506,1099,0.9325427852664236
